"","id_cliente_enc","total_productos","productos_distintos","dias_activos","compras_por_semana","compras_entre_semana","compras_fin_de_semana","kmeans_cluster","hc_cluster"
"11533","509c99a5f1d82acedfe08d950bf17eed",130,58,78,11.6666666666667,130,0,3,3
"11534","509dd2c6f08c7573a86d82e393309193",6,6,0,6,0,6,1,2
"11535","509eb28eaf2539f5068ee004a9b0b7c1",48,47,34,9.88235294117647,21,27,2,1
"11536","509f89af2e75944319a0e6d0a39bec8f",27,27,0,27,0,27,1,2
"11537","509fcdab683bda0a12a7b1212637a337",28,26,24,8.16666666666667,28,0,2,1
"11538","50a1488b05fe3f59b999fb1a2d5f72b4",179,113,74,16.9324324324324,161,18,3,3
"11539","50a57889d43ff5c420f05c1b0edb63b3",38,38,0,38,38,0,1,2
"11540","50a732c04166eba0069815774127757c",32,28,19,11.7894736842105,17,15,1,1
"11541","50aa48e76495852b2fcda516b56f4cbc",68,58,26,18.3076923076923,68,0,2,1
"11542","50aa66f37eac165dc81ba50b39328b4d",43,43,0,43,0,43,1,2
"11543","50aea3e24a34e609260fa8a0cbab4572",41,41,0,41,41,0,1,2
