"id_cliente","producto_recomendado","ranking"
"191","02691015",3
"191","02691030",4
"191","04033005",5
"192","11040103",1
"192","10260620",2
"192","04020301",3
"192","05040281",4
"192","04200505",5
"193","01012910",1
"193","02691015",2
"193","02691020",3
"193","05030615",4
"193","08190109",5
"194","04201005",1
"194","01012530",2
"194","01013315",3
"194","04200505",4
"194","12650103",5
"195","05040183",1
"195","05041185",2
"195","05040580",3
"195","01026810",4
"195","05030103",5
"196","02691015",1
"196","01012905",2
"196","01013305",3
"196","01027205",4
"196","01027805",5
"197","01028005",1
"197","11040303",2
"197","09010101",3
"197","05040280",4
"197","08230125",5
"198","01012530",1
"198","01013315",2
"198","01016505",3
"198","01027205",4
"198","01027405",5
"199","01012910",1
"199","01085120",2
"199","02650602",3
"199","04201005",4
"199","05030498",5
"200","05030415",1
"200","01085510",2
"200","11040501",3
"200","11040301",4
"200","05040584",5
"201","12650103",1
"201","01201515",2
"201","05030415",3
"201","05200102",4
"201","05041182",5
"202","01012515",1
"202","01012705",2
"202","01016710",3
"202","03070206",4
"202","03090320",5
"203","02650602",1
"203","05041187",2
"203","05041182",3
"203","04060406",4
"203","05040582",5
"204","06100105",1
"204","05040184",2
"204","12530212",3
"204","09190103",4
"204","13672506",5
"205","02620115",1
"205","11040303",2
"205","05041188",3
"205","09010101",4
"205","12670115",5
"206","03090320",1
"206","10261001",2
"206","08314035",3
"206","10240133",4
"206","05030410",5
"207","05040584",1
"207","05030103",2
"207","10200709",3
"207","10260620",4
"207","01201515",5
"208","01012905",1
"208","04020101",2
"208","04020230",3
"208","05030102",4
"208","05250505",5
"209","01085505",1
"209","02650602",2
"209","02691015",3
"209","02691030",4
"209","05041195",5
"210","01012310",1
"210","04020301",2
"210","05030101",3
"210","04032060",4
"210","05030102",5
"211","04060309",1
"211","05041187",2
"211","08190109",3
"211","11060301",4
"211","05200302",5
"212","06100105",1
"212","01026410",2
"212","01026810",3
"212","01027205",4
"212","01201005",5
"213","05030498",1
"213","06100105",2
"213","10240320",3
"213","08031918",4
"213","11100125",5
"214","01012910",1
"214","01201515",2
"214","05200102",3
"214","10240133",4
"214","05030103",5
"215","05040682",1
"215","05100802",2
"215","05040183",3
"215","10281001",4
"215","02720515",5
"216","04020301",1
"216","05040581",2
"216","05040181",3
"216","01012530",4
"216","04060326",5
"217","05040580",1
"217","11060115",2
"217","11100128",3
"217","05030410",4
"217","04020301",5
"218","11100137",1
"218","05040186",2
"218","06100205",3
"218","05200301",4
"218","09010101",5
"219","02751210",1
"219","05040682",2
"219","12500501",3
"219","12501909",4
"219","05120107",5
"220","02690515",1
"220","11040303",2
"220","11040305",3
"220","04032060",4
"220","10261001",5
"221","08190109",1
"221","11100131",2
"221","11080101",3
"221","01027835",4
"221","03050710",5
"222","01013315",1
"222","08010901",2
"222","10261510",3
"222","14301510",4
"222","05040185",5
"223","05030415",1
"223","11100128",2
"223","05030410",3
"223","10200725",4
"223","11060501",5
"224","05030601",1
"224","05030103",2
"224","04032060",3
"224","08315005",4
"224","04032065",5
"225","05030401",1
"225","05040281",2
"225","05200501",3
"225","01085510",4
"225","05041185",5
"226","01012910",1
"226","02691015",2
"226","04201005",3
"226","01012310",4
"226","01012530",5
"227","05030410",1
"227","05030415",2
"227","11100128",3
"227","05040281",4
"227","06100101",5
"228","12650103",1
"228","09010101",2
"228","08012010",3
"228","05030103",4
"228","05100802",5
"229","03070109",1
"229","12531505",2
"229","09150502",3
"229","10028427",4
"229","05200501",5
"230","01026210",1
"230","05041188",2
"230","07141605",3
"230","04060510",4
"230","10281010",5
"231","11040305",1
"231","04032065",2
"231","10260620",3
"231","05040180",4
"231","05040280",5
"232","05041188",1
"232","09030805",2
"232","11040103",3
"232","08051510",4
"232","05200103",5
"233","02691015",1
"233","11131510",2
"233","04200505",3
"233","01026410",4
"233","05040180",5
"234","01012515",1
"234","01012910",2
"234","02691015",3
"234","05030498",4
"234","05041180",5
"235","11140953",1
"235","01012310",2
"235","08230125",3
"235","05040185",4
"235","05040180",5
"236","04060506",1
"236","13930765",2
"236","05140101",3
"236","01026210",4
"236","11100910",5
"237","05030415",1
"237","10080409",2
"237","01085605",3
"237","01012305",4
"237","11080105",5
"238","05041180",1
"238","06100105",2
"238","11100131",3
"238","08110798",4
"238","11060301",5
"239","01028005",1
"239","01012305",2
"239","01012310",3
"239","01012530",4
"239","05040682",5
"240","01201525",1
"240","01013305",2
"240","08110798",3
"240","08100917",4
"240","12530212",5
"241","01085020",1
"241","01201525",2
"241","08100903",3
"241","10280103",4
"241","07121510",5
"242","05041186",1
"242","05100105",2
"242","07122505",3
"242","09091301",4
"242","04060326",5
"243","05100601",1
"243","12670109",2
"243","09091001",3
"243","12591605",4
"243","12710305",5
"244","09010101",1
"244","10261510",2
"244","05040580",3
"244","05041183",4
"244","05030403",5
"245","01027205",1
"245","01201005",2
"245","01201515",3
"245","04020301",4
"245","01026210",5
"246","02691015",1
"246","01012310",2
"246","01012530",3
"246","04200505",4
"246","01028005",5
"247","11040301",1
"247","05030601",2
"247","01016730",3
"247","10240130",4
"247","04060506",5
"248","05040188",1
"248","01026410",2
"248","12650103",3
"248","11040303",4
"248","11040305",5
"249","01012905",1
"249","01027205",2
"249","04020301",3
"249","05041182",4
"249","10261510",5
"250","08131901",1
"250","01012515",2
"250","01085020",3
"250","10280103",4
"250","01085420",5
"251","10080409",1
"251","05040584",2
"251","14301510",3
"251","08051525",4
"251","03070301",5
"252","01013110",1
"252","01026605",2
"252","11040305",3
"252","04200505",4
"252","01028010",5
"253","06100105",1
"253","11040305",2
"253","05160102",3
"253","02691005",4
"253","11040103",5
"254","01012910",1
"254","01012905",2
"254","01013305",3
"254","05040184",4
"254","11060301",5
"255","02690515",1
"255","05040183",2
"255","05041186",3
"255","10028725",4
"255","08100925",5
"256","01012705",1
"256","03070206",2
"256","07121510",3
"256","05030415",4
"256","05100114",5
"257","01085120",1
"257","05041180",2
"257","10200709",3
"257","05030401",4
"257","01201515",5
"258","01012515",1
"258","02691015",2
"258","01028005",3
"258","09010315",4
"258","11140567",5
"259","01012515",1
"259","05041180",2
"259","05041186",3
"259","10281120",4
"259","05030403",5
"260","05040188",1
"260","01028205",2
"260","05200501",3
"260","01085510",4
"260","02755105",5
"261","03033005",1
"261","11080501",2
"261","02620115",3
"261","04032602",4
"261","12531505",5
"262","05041180",1
"262","01085420",2
"262","05200102",3
"262","05041188",4
"262","09071101",5
"263","02751210",1
"263","05030498",2
"263","01016705",3
"263","04201505",4
"263","08314040",5
"264","02650602",1
"264","01012905",2
"264","11100137",3
"264","11040301",4
"264","01028010",5
"265","01012910",1
"265","03070109",2
"265","08150708",3
"265","05030401",4
"265","01085420",5
"266","02650602",1
"266","02691015",2
"266","03070206",3
"266","04060309",4
"266","05041187",5
"267","01027805",1
"267","05040281",2
"267","10261505",3
